gesture_index,gesture_name,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
0,a,124.3,277.0,128.9,294.7,293.8,283.6,284.8
0,a,124.7,276.9,129.1,295.3,293.9,283.6,284.9
0,a,124.8,277.5,129.1,295.3,294.2,284.1,285.1
0,a,124.4,276.8,128.8,294.5,293.6,283.6,284.6
0,a,124.5,277.3,128.9,294.9,293.8,283.5,284.8
0,a,124.4,277.1,129.0,295.0,293.9,283.6,285.0
0,a,124.5,276.9,129.0,295.0,293.6,283.8,284.9
0,a,124.6,276.9,128.8,294.8,293.7,283.7,284.9
0,a,124.3,277.2,128.8,294.8,293.9,283.7,285.0
0,a,124.3,276.8,128.9,294.7,293.7,283.3,284.5
0,a,124.5,276.9,129.0,295.1,293.7,283.7,285.0
0,a,124.5,277.0,128.9,295.2,294.0,283.9,284.8
1,b,124.4,276.7,128.7,294.8,293.2,283.7,284.6
1,b,124.7,277.1,129.1,295.3,294.1,283.7,284.9
1,b,124.6,277.2,129.0,295.2,293.9,284.1,285.0
1,b,124.4,277.0,128.9,295.0,293.8,283.8,284.8
1,b,124.6,277.3,129.0,294.9,293.8,283.8,285.1
1,b,124.6,277.2,129.1,295.5,294.0,283.5,285.2
1,b,124.6,276.8,128.9,294.8,293.6,283.6,284.9
1,b,124.7,277.1,128.9,295.2,294.1,283.8,284.8
1,b,124.5,277.1,129.0,294.5,293.6,283.3,284.5
1,b,124.5,277.1,128.9,294.9,293.6,283.5,284.9
1,b,124.4,277.1,128.8,294.8,293.8,283.5,284.8
1,b,124.6,276.9,129.1,295.0,293.7,283.8,284.7
