gesture_index,gesture_name,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7
0,stop,128.8,308.2,132.0,372.0,391.4,354.8,365.6
0,stop,128.9,308.4,132.4,371.2,390.6,354.3,365.1
0,stop,128.7,308.1,132.3,371.5,390.8,353.9,365.1
0,stop,128.8,308.4,132.0,371.1,390.3,354.0,364.9
0,stop,129.0,308.9,132.2,371.3,390.8,354.3,365.4
0,stop,128.8,308.2,132.1,371.0,390.7,354.0,365.0
0,stop,128.8,308.3,132.5,371.8,390.7,353.8,365.0
0,stop,128.7,308.0,132.5,371.4,390.6,353.9,365.4
0,stop,128.7,308.3,132.1,371.2,390.2,353.4,364.9
0,stop,128.6,308.2,132.2,371.0,390.0,353.1,364.4
0,stop,128.8,308.1,132.2,371.3,390.7,353.9,364.8
0,stop,128.7,308.0,132.1,371.2,390.4,353.5,365.1
0,stop,128.6,308.1,132.2,370.6,390.2,353.3,364.6
0,stop,128.5,308.2,132.2,371.0,390.6,353.7,364.9
0,stop,128.6,307.8,132.2,370.9,390.3,353.3,364.6
0,stop,128.5,307.7,132.0,370.7,390.1,353.2,364.4
0,stop,128.7,308.2,132.1,370.8,390.3,352.9,364.6
0,stop,128.6,308.0,132.0,370.6,390.8,353.2,364.4
0,stop,128.8,308.5,132.4,371.1,390.5,353.6,365.0
0,stop,128.6,308.0,132.1,370.6,390.5,352.7,364.0
0,stop,128.6,307.6,132.0,370.1,389.8,352.9,364.3
0,stop,128.3,307.3,132.0,370.4,389.6,352.6,363.9
0,stop,128.7,308.1,132.3,370.6,390.4,353.0,364.3
0,stop,128.7,307.9,132.2,370.0,390.1,353.0,364.2
0,stop,128.7,307.9,132.2,370.6,390.5,353.5,364.5
0,stop,128.6,307.8,132.1,370.3,390.1,352.8,364.4
0,stop,128.5,307.9,132.2,370.7,390.4,353.2,364.3
0,stop,128.7,308.3,132.2,371.0,390.6,353.1,365.0
0,stop,128.5,307.6,132.2,370.5,390.2,352.8,364.2
0,stop,128.5,307.7,132.2,370.7,390.3,353.1,364.5
0,stop,128.4,307.4,131.8,370.8,390.0,352.6,364.1
0,stop,128.3,307.4,132.0,370.1,389.8,353.1,364.0
0,stop,128.7,308.0,132.2,370.6,390.3,353.1,364.7
0,stop,128.4,307.6,132.2,370.2,389.7,352.6,364.1
0,stop,128.6,307.6,132.2,370.0,389.9,352.8,364.3
0,stop,128.5,307.4,132.1,370.3,389.7,352.8,364.2
0,stop,128.4,307.4,132.2,370.3,390.0,352.7,363.8
0,stop,128.5,307.2,131.9,369.8,389.8,352.4,363.8
0,stop,128.6,308.0,132.0,370.2,390.3,353.1,364.4
0,stop,128.5,307.5,132.0,369.9,390.0,352.3,363.7
0,stop,128.4,307.4,131.9,369.9,389.6,352.4,363.8
0,stop,128.5,307.5,131.9,370.0,389.4,352.5,363.7
0,stop,128.4,307.6,132.3,370.2,389.8,352.5,364.1
0,stop,128.6,307.5,132.0,370.3,390.0,352.6,364.3
0,stop,128.4,307.7,132.1,370.2,389.9,352.5,363.8
0,stop,128.5,307.2,132.1,369.6,389.4,352.4,363.9
0,stop,128.4,307.5,132.1,370.2,390.4,352.6,364.2
0,stop,128.4,307.4,131.9,369.5,389.7,352.3,363.7
0,stop,128.4,307.5,132.0,370.0,389.9,352.5,363.8
0,stop,128.5,307.6,132.0,370.1,389.8,352.6,363.7
0,stop,128.5,307.4,131.8,369.7,389.6,352.6,363.6
0,stop,128.5,307.3,132.0,369.0,389.2,352.0,363.5
0,stop,128.5,306.6,132.0,369.2,389.4,352.2,363.4
0,stop,128.4,307.6,131.9,369.9,389.2,352.5,363.6
0,stop,128.6,307.6,132.3,369.9,390.0,352.7,364.2
0,stop,128.5,307.5,132.0,369.6,389.6,352.5,363.6
0,stop,128.6,307.5,132.1,369.4,389.7,352.5,363.6
0,stop,128.2,307.0,131.8,369.4,389.5,352.2,363.3
0,stop,128.3,306.8,131.8,369.1,389.1,352.2,363.1
0,stop,128.4,307.3,131.9,369.4,389.8,352.3,363.6
0,stop,128.7,307.1,132.0,369.3,390.3,352.5,363.5
0,stop,128.5,307.4,132.1,369.5,389.7,352.3,363.3
0,stop,128.5,306.9,131.8,369.4,389.6,352.3,362.9
0,stop,128.3,306.8,131.9,369.6,389.3,352.4,362.8
0,stop,128.6,307.2,132.1,369.5,389.7,352.4,363.6
0,stop,128.5,306.6,131.8,368.9,388.9,352.3,362.8
0,stop,128.5,306.6,131.9,368.8,389.1,352.4,363.1
0,stop,128.5,306.6,131.8,369.3,389.3,351.9,363.2
0,stop,128.5,307.0,132.1,369.7,389.8,352.5,363.4
0,stop,128.4,307.2,131.9,369.5,389.6,352.3,363.4
0,stop,128.4,306.6,132.1,368.8,389.3,352.1,362.9
0,stop,128.6,307.3,131.8,369.3,389.5,352.5,363.4
0,stop,128.5,306.6,131.9,369.0,389.3,352.1,362.8
0,stop,128.5,307.0,131.9,369.2,389.2,352.2,362.9
0,stop,128.4,306.4,131.9,369.1,389.5,352.0,362.9
0,stop,128.2,306.1,131.6,368.4,388.9,351.7,362.4
0,stop,128.5,306.7,131.9,368.7,389.2,352.4,362.7
0,stop,128.7,307.0,132.0,369.4,389.8,352.6,363.4
0,stop,128.4,306.7,131.8,368.9,389.1,351.8,363.2
0,stop,128.8,306.6,132.0,369.2,389.6,352.0,363.2
0,stop,128.4,306.5,132.0,369.2,389.0,351.9,362.9
0,stop,128.4,306.6,131.9,368.9,389.1,352.1,362.9
0,stop,128.5,306.9,132.0,368.9,388.5,352.2,362.5
0,stop,128.6,306.7,132.0,369.1,389.3,352.0,363.2
0,stop,128.4,306.3,132.0,368.8,388.6,351.8,362.3
0,stop,128.5,306.2,131.9,368.1,388.9,351.5,362.5
0,stop,128.4,306.7,132.0,368.9,388.6,352.1,362.5
0,stop,128.5,306.6,131.8,368.9,389.4,352.5,362.6
0,stop,128.5,306.7,131.9,369.4,389.2,352.0,362.9
0,stop,128.5,306.5,131.8,368.7,389.0,351.9,362.8
0,stop,128.5,306.7,132.0,368.9,388.9,351.9,362.3
0,stop,128.2,306.3,131.8,368.7,388.4,351.6,361.8
0,stop,128.3,306.4,131.9,368.5,389.2,352.1,362.4
0,stop,128.5,306.6,131.8,369.1,388.7,351.5,362.2
0,stop,128.5,306.6,131.9,368.9,388.7,352.0,363.0
0,stop,128.3,306.7,131.8,369.1,388.9,351.9,362.7
0,stop,128.3,306.0,131.7,368.6,388.7,351.6,361.8
0,stop,128.4,306.9,132.0,369.8,389.6,352.1,362.7
0,stop,128.4,306.4,131.7,368.7,388.3,351.7,362.2
0,stop,128.5,306.5,131.9,369.3,389.0,351.7,362.6
0,stop,128.6,306.9,132.1,369.5,389.5,352.1,363.0
0,stop,128.5,306.8,132.0,369.5,389.5,351.9,362.4
0,stop,128.6,306.7,131.9,369.5,389.4,352.2,362.9
0,stop,128.7,307.0,132.1,369.6,389.5,352.7,362.9
0,stop,128.5,307.0,132.0,369.3,389.2,351.9,362.4
0,stop,128.5,306.9,132.0,369.3,389.0,352.0,362.5
